Breed,Adaptability,All_Around_Friendliness,Exercise_Needs,Health_Grooming,Trainability,Adapts_Well_to_Apartment_Living,Affectionate_with_Family,Amount_Of_Shedding,Dog_Friendly,Drooling_Potential,Easy_To_Groom,Easy_To_Train,Energy_Level,Exercise_Needs,Friendly_Toward_Strangers,General_Health,Good_For_Novice_Owners,Incredibly_Kid_Friendly_Dogs,Intelligence,Intensity,Potential_For_Mouthiness,Potential_For_Playfulness,Potential_For_Weight_Gain,Prey_Drive,Sensitivity_Level,Size,Tendency_To_Bark_Or_Howl,Tolerates_Being_Alone,Tolerates_Cold_Weather,Tolerates_Hot_Weather,Wanderlust_Potential
Miniature Pinscher,3.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,5.0
Miniature Schnauzer,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0
Mudi,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0
Mutt,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Neapolitan Mastiff,2.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0
Newfoundland,3.0,5.0,3.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,4.0,1.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,2.0,3.0
Norfolk Terrier,4.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0
Norwegian Buhund,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0
Norwegian Elkhound,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0
Norwegian Lundehund,3.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,5.0
Norwich Terrier,4.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0
Nova Scotia Duck Tolling Retriever,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0
Old English Sheepdog,4.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0
Otterhound,3.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,5.0
Papillon,3.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0
Peekapoo,4.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0
Pekingese,3.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,3.0
Pembroke Welsh Corgi,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0
Petit Basset Griffon Vendeen,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0
Pharaoh Hound,4.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,5.0,4.0
Plott,2.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,5.0,4.0,4.0,5.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0
Pocket Beagle,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,5.0
Pointer,2.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,4.0,5.0
Polish Lowland Sheepdog,4.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0
Pomeranian,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,2.0,1.0
Pomsky,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,5.0,3.0,2.0
Poodle,4.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0
Portuguese Water Dog,3.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0
Pug,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0
Puggle,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0
Puli,3.0,4.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0
Pyrenean Shepherd,3.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0
Rat Terrier,3.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0
Redbone Coonhound,3.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0
Rhodesian Ridgeback,3.0,4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,5.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0
Rottweiler,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0
Saint Bernard,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0
Saluki,2.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0
Samoyed,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,1.0,4.0
Schipperke,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,5.0,2.0,5.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0
Schnoodle,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0
Scottish Deerhound,3.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,4.0,4.0,4.0
Scottish Terrier,3.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,5.0
Sealyham Terrier,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0
Shetland Sheepdog,3.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,4.0,3.0,3.0,5.0,1.0,1.0,2.0,4.0,3.0,2.0
Shiba Inu,4.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,4.0
Shih Tzu,3.0,5.0,3.0,2.0,3.0,5.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
Siberian Husky,3.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,1.0,5.0,3.0,5.0
Silken Windhound,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0
Silky Terrier,3.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0
Skye Terrier,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0
Sloughi,3.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0
Small Munsterlander Pointer,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0
Soft Coated Wheaten Terrier,3.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0
Stabyhoun,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0
Staffordshire Bull Terrier,2.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,1.0,3.0,5.0,2.0,3.0,4.0,5.0,3.0,1.0,5.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0
Standard Schnauzer,3.0,3.0,5.0,2.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,5.0,5.0,2.0,5.0,2.0,4.0,5.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,5.0
Sussex Spaniel,4.0,5.0,2.0,3.0,3.0,5.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0
Swedish Vallhund,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0
Tibetan Mastiff,3.0,4.0,3.0,3.0,3.0,1.0,5.0,2.0,5.0,2.0,4.0,1.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0
Tibetan Spaniel,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,1.0,1.0,2.0,3.0
Tibetan Terrier,4.0,4.0,5.0,2.0,3.0,5.0,5.0,1.0,4.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,3.0
Toy Fox Terrier,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0
Treeing Tennessee Brindle,2.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0
Treeing Walker Coonhound,3.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0
Vizsla,3.0,5.0,5.0,3.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,5.0,1.0,1.0,4.0,5.0
Weimaraner,3.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,1.0,3.0,4.0,5.0
Welsh Springer Spaniel,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0
Welsh Terrier,3.0,5.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0
West Highland White Terrier,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0
Whippet,3.0,5.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,1.0,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0
Wirehaired Pointing Griffon,3.0,5.0,4.0,3.0,4.0,1.0,5.0,1.0,4.0,1.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0
Yorkipoo,4.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,1.0,5.0,3.0,2.0,3.0,2.0
Yorkshire Terrier,3.0,3.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,3.0
